,Unnamed: 0,Type,Include,ID,Group,Statement,CMP,ESI,MET,MGD,IMG,IMS,IMP,FAM,SRL,ALT,Good (4),Less good (3),Semantic (2) - category/desription,Bad (1),NOTE,prompt,values,model_response,appropriateness_score,raw_guess
10,10,Nonliterary,1.0,57.0,1.0,A butterfly is a winged rainbow.,5.43,5.7,2.73,4.6,4.7,4.8,4.97,3.9,3.9,1.79,A butterfly is colorful.,A butterfly is beautiful.,A butterfly is an insect.,A butterfly is ugly.,,"""A butterfly is a winged rainbow.""

a) A butterfly is beautiful.
b) A butterfly is colorful.
c) A butterfly is an insect.
d) A butterfly is ugly.
",[3 4 2 1],"A rainbow is a beautiful and colorful array of light.
In contrast, a butterfly is not an array of light.
This contrast projects the property of being beautiful and colorful to a butterfly, so the speaker is saying a) a butterfly is beautiful.",3.0,a
11,11,Literary,1.0,146.0,2.0,Man is a box of nerves.,5.43,5.1,4.93,3.0,4.2,3.9,3.73,4.7,3.47,2.03,People can be anxious.,People can be perceptive.,Man is conscious.,People can be calm.,,"""Man is a box of nerves.""

a) People can be anxious.
b) People can be calm.
c) Man is conscious.
d) People can be perceptive.
",[4 1 2 3],"
People are able to be anxious or calm.
In contrast, man is conscious.
This contrast projects the property of being aware to people, so the speaker is saying c) man is conscious.",2.0,c
12,12,Nonliterary,1.0,55.0,28.0,Tree trunks are pillars for a roof of leaves and branches.,5.53,6.07,3.73,3.86,4.9,4.53,4.87,3.73,4.27,1.53,Tree trunks provide support for leaves and branches.,Tree trunks provide nutrients for leaves and branches.,Tree trunks are leftover when trees are cut down.,Tree trunks are weak.,,"""Tree trunks are pillars for a roof of leaves and branches.""

a) Tree trunks are weak.
b) Tree trunks provide support for leaves and branches.
c) Tree trunks provide nutrients for leaves and branches.
d) Tree trunks are leftover when trees are cut down.
",[1 4 3 2],"Pillars support a roof of leaves and branches.
In contrast, tree trunks are weak and can be pulled down by the leaves and branches.
This contrast projects the property of providing support to tree trunks from leaves and branches, so the speaker is saying b) tree trunks provide support for leaves and branches.",4.0,b
13,13,Literary,1.0,110.0,0.0,Memories are the roots that clutch.,5.33,5.52,3.53,5.0,4.6,3.93,4.73,5.17,3.9,1.87,Memories are stabilizing.,Memories are long.,Memories are how the mind stores and remembers information.,Memories are nerve-wracking.,,"""Memories are the roots that clutch.""

a) Memories are stabilizing.
b) Memories are nerve-wracking.
c) Memories are how the mind stores and remembers information.
d) Memories are long.
",[4 1 2 3],"Roots grip the soil and prevent it from being washed away.
In contrast, memories do not grip onto anything and can be easily forgotten.
This contrast projects the property of being stabilizing and storing information to memories, so the speaker is saying c) memories are how the mind stores and remembers information.",2.0,c
14,14,Nonliterary,1.0,131.0,0.0,A fireman is a boxer.,3.67,3.83,2.27,2.63,2.83,3.21,2.83,2.03,1.93,1.21,A fireman is strong and strategic when putting out fires.,A fireman has an audience when putting out fires.,A fireman is someone who extinguishes fires.,A fireman is weak and misguided when putting out fires.,,"""A fireman is a boxer.""

a) A fireman is weak and misguided when putting out fires.
b) A fireman is someone who extinguishes fires.
c) A fireman has an audience when putting out fires.
d) A fireman is strong and strategic when putting out fires.
",[1 2 3 4],"
A boxer is someone who competes in boxing matches.
In contrast, a fireman is someone who puts out fires.
This contrast projects the property of being strong when putting out fires to a fireman, so the speaker is saying c) a fireman has an audience when putting out fires.",3.0,c
15,15,Nonliterary,1.0,153.0,0.0,Perfume is a magic spell.,5.3,5.2,2.77,3.37,3.63,4.17,3.23,3.17,3.77,1.63,Perfume can be powerful.,Perfume can be surprising.,Perfume is a fragrant odor.,Perfume can be off-putting.,,"""Perfume is a magic spell.""

a) Perfume is a fragrant odor.
b) Perfume can be surprising.
c) Perfume can be off-putting.
d) Perfume can be powerful.
",[2 3 1 4],"A magic spell is a powerful tool that can be unexpected.
In contrast, perfume is not a magical spell.
This contrast projects the property of power from the magic spell to perfume, so the speaker is saying c) perfume can be surprising.",1.0,c
16,16,Nonliterary,1.0,123.0,0.0,A rumor is a plague.,5.0,6.13,3.2,4.63,4.2,4.72,5.23,4.62,4.73,2.11,A rumor spreads through people.,Rumors can kill people.,A rumour is a story.,Rumors don't matter.,,"""A rumor is a plague.""

a) Rumors don't matter.
b) A rumour is a story.
c) Rumors can kill people.
d) A rumor spreads through people.
",[1 2 3 4],"
A plague is a deadly disease that spreads quickly through populations.
In contrast, a rumor does not actually harm anyone.
This contrast projects the property of not harming anyone to a rumor, so the speaker is saying b) a rumor is a story.",2.0,b
17,17,Nonliterary,1.0,219.0,27.0,Time is the skin of an onion.,3.41,3.37,2.4,3.27,1.83,2.53,3.43,2.27,2.3,1.17,Time is complicated.,Time is visible.,Time is a dimension.,Time is simple.,,"""Time is the skin of an onion.""

a) Time is a dimension.
b) Time is complicated.
c) Time is visible.
d) Time is simple.
",[2 4 3 1],"Time is a dimension.
In contrast, time is not simple and is complicated.
This contrast projects the property of being complicated from time to time, so the speaker is saying c) time is visible.",3.0,c
18,18,Nonliterary,1.0,214.0,13.0,Billboards are warts on the landscape.,5.37,4.77,3.13,3.77,4.07,3.83,4.47,3.37,3.53,1.66,Billboards are ugly.,Billboards provide information about companies.,Billboards are advertisements.,Billboards are beautiful.,,"""Billboards are warts on the landscape.""

a) Billboards provide information about companies.
b) Billboards are advertisements.
c) Billboards are beautiful.
d) Billboards are ugly.
",[3 2 1 4],"Warts are unsightly bumps on the skin.
In contrast, billboards are advertisements.
This contrast projects the properties of being an advertisement and being beautiful to billboards, so the speaker is saying b) billboards are beautiful.",2.0,b
19,19,Nonliterary,1.0,14.0,22.0,Sleep is a snowstorm.,4.2,4.42,2.44,2.24,2.83,3.72,3.27,3.1,2.59,1.35,Sleep is quiet but heavy.,Sleep is deep and calm.,Sleep is a physiological state.,Sleep is loud and light.,,"""Sleep is a snowstorm.""

a) Sleep is a physiological state.
b) Sleep is loud and light.
c) Sleep is quiet but heavy.
d) Sleep is deep and calm.
",[2 1 4 3],"A snowstorm is a weather event that is loud, light, and disruptive.
In contrast, sleep is a physiological state that is quiet, heavy, and calming.
This contrast projects the properties of noise, light, and disruption to sleep, so the speaker is saying c) sleep is quiet but heavy.",4.0,c
20,20,Nonliterary,1.0,99.0,0.0,An accordian is a musical file-folder.,5.63,5.7,2.97,3.77,4.93,4.63,5.17,3.7,4.6,1.32,An accordian is has a lot of folds in it.,An accordian is square.,An accordian is a musical instrument.,An accordian is smooth.,,"""An accordian is a musical file-folder.""

a) An accordian is square.
b) An accordian is has a lot of folds in it.
c) An accordian is a musical instrument.
d) An accordian is smooth.
",[3 4 2 1],"

A musical file-folder is square.
In contrast, accordian is not a file-folder.
This contrast projects the property of being a file-folder to accordian, so the speaker is saying a) an accordian is a musical instrument.",3.0,a
21,21,Nonliterary,1.0,20.0,0.0,Darkness is a gloved hand.,5.2,5.0,2.81,4.32,4.03,3.9,4.46,4.31,3.67,1.65,Darkness is scary.,Darkness is warm.,Darkness is space without light.,Darkness is exciting.,,"""Darkness is a gloved hand.""

a) Darkness is warm.
b) Darkness is exciting.
c) Darkness is scary.
d) Darkness is space without light.
",[3 1 4 2],"A gloved hand is warm.
In contrast, darkness is not someone or something.
This contrast projects darkness from the hand to darkness, so the speaker is saying b) darkness is exciting.",1.0,b
22,22,Nonliterary,1.0,115.0,0.0,Children are sponges.,4.3,5.27,2.77,3.5,3.37,3.41,3.73,3.76,2.83,1.86,Children learn quickly.,Children are small.,Children are young people.,Children learn slowly.,,"""Children are sponges.""

a) Children learn quickly.
b) Children are small.
c) Children are young people.
d) Children learn slowly.
",[4 3 2 1],"Sponges absorb liquids.
In contrast, children are not sponges.
This contrasts projects the property of absorbing liquids to children, so the speaker is saying d) children learn slowly.",1.0,d
23,23,Nonliterary,1.0,253.0,8.0,A white rabbit's fur in winter is a soldier's army-green uniform in a jungle.,5.93,5.87,3.43,4.9,5.14,4.97,4.93,3.32,4.6,1.85,A white rabbit's fur in winter is good camoflauge.,A white rabbit's fur in winter is naturally warm and cozy.,A white rabbit's fur in winter is the outermost part of the animal.,A white rabbit's fur in winter is easy to see.,,"""A white rabbit's fur in winter is a soldier's army-green uniform in a jungle.""

a) A white rabbit's fur in winter is good camoflauge.
b) A white rabbit's fur in winter is the outermost part of the animal.
c) A white rabbit's fur in winter is easy to see.
d) A white rabbit's fur in winter is naturally warm and cozy.
",[4 2 1 3],"A soldier's army-green uniform is the color of a country's flag.
In contrast, a white rabbit's fur in winter is not the color of a country's flag.
This contrast projects the property of being invisible to the color of a country's flag to a white rabbit's fur in winter, so the speaker is saying c) a white rabbit's fur in winter is easy to see.",1.0,c
24,24,Nonliterary,1.0,232.0,0.0,The palm tree is nature's fan.,6.0,6.0,3.47,4.47,4.73,5.0,5.33,3.3,4.5,1.86,The palm tree can be used to cool off.,The palm tree needs electricity.,The palm tree is an evergreen.,The palm tree can be used to warm up.,,"""The palm tree is nature's fan.""

a) The palm tree can be used to cool off.
b) The palm tree can be used to warm up.
c) The palm tree is an evergreen.
d) The palm tree needs electricity.
",[4 1 2 3],"A fan is used to cool off or to air out something.
In contrast, a palm tree does not need a fan.
This contrast projects the property of cooling down or airing something out to a palm tree, so the speaker is saying a) the palm tree can be used to cool down.",4.0,a
25,25,Nonliterary,1.0,10.0,0.0,Creativity is a toaster.,2.48,2.96,2.35,2.36,1.93,2.03,2.88,1.52,2.11,1.19,Creativity is unpredictable.,Creativity is fast.,Creativity is creating new things.,Creativity is predictable.,,"""Creativity is a toaster.""

a) Creativity is fast.
b) Creativity is unpredictable.
c) Creativity is creating new things.
d) Creativity is predictable.
",[3 4 2 1],"
Toaster ovens are fast.
In contrast, creativity is slow.
This contrast projects the property of being slow to creativity, so the speaker is saying b) creativity is unpredictable.",4.0,b
26,26,Nonliterary,1.0,243.0,0.0,The Rocky mountains are the spine of North America.,6.18,6.0,3.23,4.63,4.93,5.23,5.55,4.45,4.6,1.83,The Rocky mountains are in the center of North America.,The Rocky mountains support North America.,The Rocky mountains are in the middle of the North America.,The Rocky mountains are soft.,,"""The Rocky mountains are the spine of North America.""

a) The Rocky mountains are soft.
b) The Rocky mountains are in the center of North America.
c) The Rocky mountains support North America.
d) The Rocky mountains are in the middle of the North America.
",[1 4 3 2],"A spine is a long, narrow piece of flesh that supports an animal's body.
In contrast, the Rocky mountains are not soft.
This contrast projects the property of being firm to the Rocky mountains, so the speaker is saying d) the Rocky mountains are in the middle of the North America.",2.0,d
27,27,Nonliterary,1.0,53.0,0.0,A child's mind is an apple core.,3.1,3.38,2.47,2.57,2.27,2.73,2.73,1.63,2.0,1.17,A child's mind is important.,A child's mind is growing.,A child's mind is young mind.,A child's mind is trivial.,,"""A child's mind is an apple core.""

a) A child's mind is important.
b) A child's mind is trivial.
c) A child's mind is growing.
d) A child's mind is young mind.
",[4 1 3 2],"
The apple core is the center of an apple.
In contrast, a child's mind is not the center of their body.
This contrast projects the property of importance to the apple core, so the speaker is saying a) a child's mind is important.",4.0,a
28,28,Nonliterary,1.0,209.0,0.0,A smile is an ambassador.,5.07,4.37,2.57,3.77,3.4,4.43,2.73,3.43,3.5,1.43,A smile helps to make a good impression.,A smile is a person.,A smile is a facial expression.,A smile helps to make a bad impression.,,"""A smile is an ambassador.""

a) A smile helps to make a bad impression.
b) A smile is a facial expression.
c) A smile helps to make a good impression.
d) A smile is a person.
",[1 2 4 3],"

A smile is an ambassador that tries to make a good impression.
In contrast, a smile can also make a bad impression.
This contrast projects the property of helping to make a good impression to a smile, so the speaker is saying c) a smile is a facial expression.",4.0,c
29,29,Literary,1.0,126.0,0.0,The brain is the prisoner of thought.,5.4,5.23,4.17,4.3,4.53,4.8,3.73,5.03,4.4,1.9,The brain can only think certain thoughts.,The brain can only think about prison.,The brain is an organ in the skull.,The brain can think any thoughts.,,"""The brain is the prisoner of thought.""

a) The brain is an organ in the skull.
b) The brain can only think certain thoughts.
c) The brain can only think about prison.
d) The brain can think any thoughts.
",[2 4 3 1],"The brain is an organ in the skull.
The brain can only think certain thoughts.
In contrast, the brain can think any thoughts.
This contrasts projects the property of being able to think any thoughts to the brain, so the speaker is saying c) the brain can think any thoughts.",3.0,c
30,30,Nonliterary,1.0,154.0,0.0,Danger is a spice.,4.63,4.87,2.87,3.57,3.53,3.73,3.73,3.43,3.53,1.83,Danger creates variety.,Danger tastes good.,Danger is when there is a possibility of suffering harm or injury. ,Danger is boring.,,"""Danger is a spice.""

a) Danger creates variety.
b) Danger is boring.
c) Danger tastes good.
d) Danger is when there is a possibility of suffering harm or injury. 
",[4 1 3 2],"A spice is something that enhances the taste of food.
In contrast, danger is something that might cause harm or injury.
This contrast projects the property of being exciting to danger, so the speaker is saying c) danger tastes good.",3.0,c
31,31,Nonliterary,1.0,188.0,29.0,Truth is a firefly.,4.0,3.9,2.83,3.07,3.23,2.63,3.4,2.47,3.4,1.66,Truth is useful.,Truth is powerful.,Truth is a virtue.,Truth is elusive.,,"""Truth is a firefly.""

a) Truth is useful.
b) Truth is a virtue.
c) Truth is powerful.
d) Truth is elusive.
",[4 2 3 1],"A firefly is a tiny light that flits around.
In contrast, truth is not a light and is much harder to see.
This contrast projects the property of being a tiny light to truth, so the speaker is saying d) truth is elusive.",1.0,d
32,32,Nonliterary,1.0,193.0,0.0,Lust is anarchy.,3.57,3.1,3.1,3.07,2.47,2.7,2.83,2.5,2.67,1.24,Lust lacks discipline and will lead to chaos.,Lust lacks happiness and will lead to despair.,Lust is a strong sexual desire.,Lust lacks happiness and will lead to chaos.,,"""Lust is anarchy.""

a) Lust is a strong sexual desire.
b) Lust lacks discipline and will lead to chaos.
c) Lust lacks happiness and will lead to chaos.
d) Lust lacks happiness and will lead to despair.
",[2 4 1 3],"Anarchy is a state of disorder.
In contrast, lust is a strong sexual desire that can lead to chaos.
This contrast projects the property of being chaotic from lust, so the speaker is saying d) lust lacks happiness and will lead to chaos.",3.0,d
33,33,Nonliterary,1.0,254.0,12.0,Bargain hunters are prospectors for gold.,5.34,5.73,3.13,3.87,4.07,4.48,4.45,3.36,3.93,1.59,Bargain hunters search for good deals.,Bargain hunters look for treasure.,Bargain hunters are people looking to save money.,Bargain hunters move in groups.,,"""Bargain hunters are prospectors for gold.""

a) Bargain hunters look for treasure.
b) Bargain hunters move in groups.
c) Bargain hunters are people looking to save money.
d) Bargain hunters search for good deals.
",[3 1 2 4],"Gold prospectors explore for treasure.
In contrast, bargain hunters are not looking for treasure.
This contrast projects the property of looking for treasure to bargain hunting, so the speaker is saying c) bargain hunters are people looking to save money.",2.0,c
34,34,Nonliterary,1.0,172.0,0.0,Wounds are fjords.,4.6,4.7,2.93,3.48,3.77,3.57,3.77,2.23,3.21,1.21,Wounds are extremely deep.,Wounds are beautiful.,Wounds are injuries.,Wounds are superficial.,,"""Wounds are fjords.""

a) Wounds are injuries.
b) Wounds are extremely deep.
c) Wounds are superficial.
d) Wounds are beautiful.
",[2 4 1 3],"A fjord is a deep ocean trench carved by the flow of the sea.
In contrast, wounds are not injuries.
This contrast projects the property of being injuries to wounds, so the speaker is saying c) wounds are superficial.",1.0,c
35,35,Nonliterary,1.0,21.0,5.0,A sailboat is a cat.,2.6,2.96,2.08,2.0,1.93,2.17,2.31,1.62,1.85,1.35,A sailboat can move tactically.,A sailboat is small.,A sailboat is a recreational vehicle.,A sailboat moves where the wind goes.,,"""A sailboat is a cat.""

a) A sailboat is small.
b) A sailboat can move tactically.
c) A sailboat moves where the wind goes.
d) A sailboat is a recreational vehicle.
",[3 4 1 2],"A cat can move where the wind goes.
In contrast, a sailboat is not an agent that can directly move.
This contrast projects the property of moving where the wind goes to a sailboat, so the speaker is saying c) a sailboat moves where the wind goes.",1.0,c
36,36,Nonliterary,1.0,67.0,11.0,Artists are gods.,3.9,3.73,2.5,2.53,2.27,2.47,2.4,2.53,2.17,1.07,Artists are creators.,Artists know everything.,Artists are creative people.,Artists are show-offs.,,"""Artists are gods.""

a) Artists know everything.
b) Artists are show-offs.
c) Artists are creators.
d) Artists are creative people.
",[3 1 4 2],"Gods are creators of the universe.
In contrast, artists are not gods.
This contrast projects the property of being a creator to artists, so the speaker is saying c) artists are creators.",4.0,c
37,37,Nonliterary,1.0,62.0,18.0,School teachers are granite.,4.43,4.63,2.97,3.73,3.53,3.53,3.9,2.63,2.9,1.72,School teachers are strong.,School teachers are detailed.,Old schoolteachers are people who have taught for a long time.,School teachers are boring.,"Note: changed from ""old schoolteachers""","""School teachers are granite.""

a) School teachers are detailed.
b) Old schoolteachers are people who have taught for a long time.
c) School teachers are strong.
d) School teachers are boring.
",[3 2 4 1],"A granite block is hard and unyielding.
In contrast, old schoolteachers are people who are no longer active in the profession.
This contrast projects the property of being strong and long-lived from schoolteachers to old schoolteachers, so the speaker is saying a) school teachers are detailed.",3.0,a
38,38,Nonliterary,1.0,77.0,0.0,Courtesy is a sweet note in the noise of the city.,6.0,6.41,3.53,5.6,4.47,5.1,5.17,4.83,5.14,1.66,Courtesy is a nice gesture.,Courtesy is a quiet gesture.,Courtesy is an expression of kindness.,Courtesy is a mean gesture.,,"""Courtesy is a sweet note in the noise of the city.""

a) Courtesy is a quiet gesture.
b) Courtesy is an expression of kindness.
c) Courtesy is a nice gesture.
d) Courtesy is a mean gesture.
",[3 2 4 1],"Courtesy is a nice gesture.
In contrast, Courtesy is a mean gesture.
This contrast projects the property of being nice to courtesy, so the speaker is saying c) courtesy is a nice gesture.",4.0,c
39,39,Nonliterary,1.0,30.0,0.0,A busybody is a patch of crabgrass.,4.38,4.54,2.77,3.84,2.93,3.45,3.69,2.96,3.37,1.55,A busybody is a nuassiance.,A busybody is green.,A busybody is someone who can't stop moving.,A busybody is a help.,,"""A busybody is a patch of crabgrass.""

a) A busybody is a help.
b) A busybody is green.
c) A busybody is someone who can't stop moving.
d) A busybody is a nuassiance.
",[1 3 2 4],"
A patch of crabgrass is a weed that spreads rapidly and can be a nuissance.
In contrast, a busybody is someone who can't stand seeing weeds and tries to get rid of them.
This contrast projects the property of helping to a busybody, so the speaker is saying d) a busybody is a nuassiance.",4.0,d
40,40,Nonliterary,1.0,129.0,0.0,Anarchy is a watering can for destruction.,3.66,4.2,3.0,3.83,2.4,2.52,3.63,2.55,3.4,1.5,Anarchy leads to destruction.,Destruction leads to anarchy.,Anarchy is a lack of government.,Anarchy prevents destruction.,,"""Anarchy is a watering can for destruction.""

a) Anarchy leads to destruction.
b) Anarchy prevents destruction.
c) Destruction leads to anarchy.
d) Anarchy is a lack of government.
",[4 1 3 2],"Anarchy is a lack of order.
In contrast, destruction leads to anarchy.
This contrast projects the property of leading to anarchy to anarchy, so the speaker is saying a) anarchy is a lack of government.",4.0,a
41,41,Nonliterary,1.0,11.0,25.0,The wind is a rocking chair.,4.16,4.54,2.69,3.4,3.31,3.66,4.12,2.62,2.59,1.42,The wind goes back and forth.,The wind goes up and down.,The wind is air blowing quickly.,The wind stays still.,,"""The wind is a rocking chair.""

a) The wind goes up and down.
b) The wind goes back and forth.
c) The wind is air blowing quickly.
d) The wind stays still.
",[3 4 2 1],"
An adult sits in a rocking chair and the chair rocks back and forth.
In contrast, the wind does not move.
This contrast projects the property of staying still to the wind, so the speaker is saying c) the wind stays still.",2.0,c
42,42,Nonliterary,1.0,17.0,0.0,A tree stump is a dead soldier.,4.58,4.25,2.54,4.2,3.21,3.82,3.46,2.93,2.96,1.85,A tree stump is the remains of a tree that was once alive.,A tree stump can mark a grave.,A tree stump is a dead tree.,A tree stump is currently alive.,,"""A tree stump is a dead soldier.""

a) A tree stump is currently alive.
b) A tree stump is the remains of a tree that was once alive.
c) A tree stump can mark a grave.
d) A tree stump is a dead tree.
",[1 4 3 2],"A dead soldier is someone who has died in battle.
In contrast, a tree stump does not represent someone who has died in battle.
This contrast projects the property of being a dead soldier to a tree stump, so the speaker is saying c) a tree stump can mark a grave.",3.0,c
43,43,Nonliterary,1.0,242.0,0.0,Television is the aspirin for boredom.,5.9,5.77,3.83,4.5,4.38,4.27,4.76,4.07,3.8,1.62,Television relieves boredom.,Television prevents boredom.,Television is entertainment.,Television causes boredom.,,"""Television is the aspirin for boredom.""

a) Television causes boredom.
b) Television is entertainment.
c) Television relieves boredom.
d) Television prevents boredom.
",[1 2 4 3],"Aspirin cures headache.
In contrast, television does not cure or prevent boredom.
This contrast projects the property of curing or preventing boredom from aspirin, so the speaker is saying c) television relieves boredom.",4.0,c
44,44,Nonliterary,1.0,204.0,0.0,Detectives are ferrets.,4.0,3.97,3.27,3.5,3.33,3.5,3.37,2.7,3.3,1.38,Detectives go anywhere they can.,Detectives are pets.,Detectives are people who investigate and solve crimes.,Detectives are loving.,,"""Detectives are ferrets.""

a) Detectives are people who investigate and solve crimes.
b) Detectives are pets.
c) Detectives are loving.
d) Detectives go anywhere they can.
",[2 3 1 4],"
Ferrets are pets that help detectives solve crimes.
In contrast, detectives are not people.
This contrast projects the property of helping people from detectives, so the speaker is saying b) detectives are pets.",3.0,b
45,45,Nonliterary,1.0,160.0,0.0,Official reports are skeletons of the truth.,5.3,5.2,4.07,3.97,4.59,4.27,4.27,3.63,4.3,1.8,Official reports don't tell the whole story.,Official reports are versions of the truth.,Official reports are documents produced by officials.,Official reports are lies.,,"""Official reports are skeletons of the truth.""

a) Official reports are versions of the truth.
b) Official reports are lies.
c) Official reports are documents produced by officials.
d) Official reports don't tell the whole story.
",[3 1 2 4],"Official reports are versions of the truth.
In contrast, official reports are not the whole story.
This contrast projects the property of not being the whole story from official reports to the speaker, so the speaker is saying c) official reports are documents produced by officials.",2.0,c
