,Type,Include,ID,Group,Statement,CMP,ESI,MET,MGD,IMG,IMS,IMP,FAM,SRL,ALT,Good (4),Less good (3),Semantic (2) - category/desription,Bad (1),NOTE,prompt,values,model_response
10,Literary,1.0,52.0,0.0,Earth is a buzzing beehive grove.,5.03,4.93,3.77,4.17,5.13,4.23,4.73,4.5,3.6,2.07,Earth is an active place.,Earth is a quiet place.,Earth is a planet.,Earth is an inactive place.,,"""Earth is a buzzing beehive grove.""

a) Earth is an inactive place.
b) Earth is a quiet place.
c) Earth is a planet.
d) Earth is an active place.
",[1 3 2 4],"The speaker is addressing the question ""What is Earth's role?""
A planet is active.
So the speaker is saying c) Earth is a planet."
11,Nonliterary,1.0,146.0,0.0,Dreams are the movies of the mind.,6.33,6.57,4.66,5.57,5.8,5.4,6.07,5.23,5.97,2.3,Dreams are personal entertainment.,Dreams require tickets.,Dreams are what people remember from sleep.,Dreams are boring.,,"""Dreams are the movies of the mind.""

a) Dreams are what people remember from sleep.
b) Dreams are boring.
c) Dreams require tickets.
d) Dreams are personal entertainment.
",[2 1 3 4],"The speaker is addressing the question ""What are dreams?""
People remember their dreams.
So the speaker is saying b) dreams are boring."
12,Nonliterary,1.0,202.0,0.0,Dictators are the stranglers of liberty.,6.1,5.63,3.97,4.97,5.14,5.37,3.97,4.31,5.57,1.79,Dictators oppose liberty.,Dictators dislike liberty.,Dictators are the rulers of authoritarian countries.,Dictators promote liberty.,,"""Dictators are the stranglers of liberty.""

a) Dictators are the rulers of authoritarian countries.
b) Dictators promote liberty.
c) Dictators oppose liberty.
d) Dictators dislike liberty.
",[2 1 4 3],"
The speaker is addressing the question ""What is the relationship between dictators and liberty?""
Rulers of authoritarian countries promote liberty in the name of stability.
So the speaker is saying c) dictators oppose liberty."
13,Nonliterary,1.0,85.0,0.0,Poems are the seeds of culture.,4.47,4.27,3.07,3.87,3.3,3.6,3.43,3.1,3.47,1.59,Poems are an early part of culture.,Poems are a daily part of culture.,Poems are artistic expressions.,Poems are not a part of culture.,,"""Poems are the seeds of culture.""

a) Poems are a daily part of culture.
b) Poems are artistic expressions.
c) Poems are an early part of culture.
d) Poems are not a part of culture.
",[3 2 4 1],"The speaker is addressing the question ""What is the role of poems in culture?""
Poems are the seeds of culture.
So the speaker is saying c) poems are an early part of culture."
14,Nonliterary,1.0,132.0,0.0,A fisherman is a spider.,3.6,3.3,2.27,2.6,3.13,2.48,2.67,1.9,2.3,1.39,A fisherman waits for their prey.,A fisherman traps their prey.,A fisherman is someone who goes fishing.,A fisherman attacks their prey.,,"""A fisherman is a spider.""

a) A fisherman is someone who goes fishing.
b) A fisherman attacks their prey.
c) A fisherman traps their prey.
d) A fisherman waits for their prey.
",[2 1 3 4],"The speaker is addressing the question ""What does a fisherman do?""
A fisherman goes fishing.
So the speaker is saying a) a fisherman goes fishing."
15,Nonliterary,1.0,91.0,0.0,Whiskey is penicillin for the soul.,4.17,4.33,2.9,3.03,2.57,3.1,3.0,2.5,2.24,1.17,Whiskey relieves existential pain.,Whiskey kills bacteria.,Whiskey is alcohol.,Whiskey is bad for the soul.,,"""Whiskey is penicillin for the soul.""

a) Whiskey relieves existential pain.
b) Whiskey kills bacteria.
c) Whiskey is alcohol.
d) Whiskey is bad for the soul.
",[4 3 2 1],"The speaker is addressing the question ""What does whiskey do?""
Alcohol kills bacteria.
So the speaker is saying c) whiskey is alcohol."
16,Nonliterary,1.0,29.0,27.0,Time is a wave.,5.52,5.17,2.46,3.92,4.24,3.79,3.96,3.97,3.81,2.04,There are cycles of times.,Time is invisible.,Time is a dimension.,Time is static.,,"""Time is a wave.""

a) Time is a dimension.
b) Time is static.
c) Time is invisible.
d) There are cycles of times.
",[2 1 3 4],"The speaker is addressing the question ""What is time like?""
Time is a dimension.
So the speaker is saying a) time is a dimension."
17,Literary,1.0,194.0,9.0,Love is the star guiding every wandering ship.,5.97,6.07,3.6,5.4,5.47,4.93,5.33,5.93,4.43,1.7,Love can be informative.,Love can be found in a ship.,Love is an emotion.,Love is to be ignored.,,"""Love is the star guiding every wandering ship.""

a) Love can be informative.
b) Love can be found in a ship.
c) Love is to be ignored.
d) Love is an emotion.
",[4 3 1 2],"The speaker is addressing the question ""What is the role of love in a person's life?""
Love is to be ignored at first.
But eventually, love can be informative.
So the speaker is saying c) love can be found in a ship."
18,Nonliterary,1.0,37.0,0.0,A good professor is an oasis in the desert.,5.93,5.9,3.77,4.87,4.2,3.73,4.13,3.63,4.77,1.93,A good professor is stimulating.,A good professor is beautiful.,A good professor is on the faculty at a university.,A good professor is unwanted.,,"""A good professor is an oasis in the desert.""

a) A good professor is on the faculty at a university.
b) A good professor is unwanted.
c) A good professor is beautiful.
d) A good professor is stimulating.
",[2 1 3 4],"The speaker is addressing the question ""What qualities does a good professor possess?""
A good professor is stimulating.
So the speaker is saying c) a good professor is beautiful."
19,Nonliterary,1.0,167.0,0.0,The nightly news is a chamber of horrors.,5.73,5.53,3.23,3.33,4.43,4.2,4.03,4.43,4.27,1.97,The nightly news is one horrible story after the next.,The nightly news is one entertaining story after the next.,The nightly news is a television program.,The nightly news is one happy story after the next.,,"""The nightly news is a chamber of horrors.""

a) The nightly news is one entertaining story after the next.
b) The nightly news is one horrible story after the next.
c) The nightly news is one happy story after the next.
d) The nightly news is a television program.
",[3 4 1 2],"The speaker is addressing the question ""What is the nightly news?""
The nightly news is a television program.
So the speaker is saying c) the nightly news is one happy story after the next."
20,Nonliterary,1.0,148.0,0.0,Chess masters are computers.,5.3,5.63,3.57,3.67,4.77,3.83,4.33,4.13,4.5,1.83,Chess masters are mechanical thinkers.,Chess masters are good thinkers.,Chess masters are excellent players.,Chess masters are bad thinkers,,"""Chess masters are computers.""

a) Chess masters are excellent players.
b) Chess masters are good thinkers.
c) Chess masters are bad thinkers
d) Chess masters are mechanical thinkers.
",[2 3 1 4],"The speaker is addressing the question ""How do chess masters think?""
Computers are very good at thinking in a certain way.
So the speaker is saying c) chess masters are bad thinkers."
21,Nonliterary,1.0,48.0,0.0,A beauitful woman is a desert flower.,5.33,5.59,2.77,3.87,4.73,4.7,4.13,3.9,4.0,2.1,A beautiful woman stands out.,A beautiful woman is colorful.,A beautiful woman is a person.,A beautiful woman blends in.,,"""A beauitful woman is a desert flower.""

a) A beautiful woman stands out.
b) A beautiful woman blends in.
c) A beautiful woman is a person.
d) A beautiful woman is colorful.
",[4 1 2 3],"

The speaker is addressing the question ""How does a beautiful woman look?""
A desert flower is colorful.
So the speaker is saying c) a beautiful woman is a person."
22,Nonliterary,1.0,128.0,0.0,A dynasty is a play.,3.13,3.13,2.73,3.0,2.13,2.72,2.43,1.89,2.24,0.96,Dynasties have several phases.,Dynasties are predictable.,A dynasty is a period of political rule.,Dynasties never end.,,"""A dynasty is a play.""

a) Dynasties are predictable.
b) Dynasties have several phases.
c) A dynasty is a period of political rule.
d) Dynasties never end.
",[3 4 2 1],"The speaker is addressing the question ""How long does a dynasty last?""
A dynasty can last many years.
So the speaker is saying c) a dynasty is a period of political rule."
23,Nonliterary,1.0,52.0,21.0,Skyscrapers are the giraffes of the city.,6.47,6.41,3.6,4.43,5.37,4.77,5.53,4.23,4.53,1.53,Skyscrapers are the tallest of buildings.,Skyscrapers are slow movers.,Skyscrapers are usually office buildings.,Skyscrapers are the smallest of buildings.,,"""Skyscrapers are the giraffes of the city.""

a) Skyscrapers are the smallest of buildings.
b) Skyscrapers are slow movers.
c) Skyscrapers are the tallest of buildings.
d) Skyscrapers are usually office buildings.
",[1 3 4 2],"The speaker is addressing the question ""What does a skyscraper do?""
 skyscrapers are the tallest of buildings.
So the speaker is saying c) skyscrapers are the tallest of buildings."
24,Nonliterary,1.0,103.0,0.0,Books are treasure chests of information.,6.6,6.41,4.37,5.63,5.23,5.57,5.37,5.7,5.7,1.93,Books have lots of valuable information.,Books are heavy.,Books are made of paper.,Books have little valuable information.,,"""Books are treasure chests of information.""

a) Books have little valuable information.
b) Books are made of paper.
c) Books are heavy.
d) Books have lots of valuable information.
",[1 2 3 4],"
The speaker is addressing the question ""What is the most valuable information in a book?""
A treasure chest of information has a lot of valuable information.
So the speaker is saying c) books are heavy."
25,Nonliterary,1.0,105.0,0.0,An island is a cork.,4.53,4.53,2.17,3.33,3.63,3.93,3.9,2.53,2.97,1.43,An island is a place without water.,An island prevents liquid from leaking out of a bottle.,An island is a piece of land surrounded by water.,An island is a place covered in water.,,"""An island is a cork.""

a) An island is a place without water.
b) An island prevents liquid from leaking out of a bottle.
c) An island is a place covered in water.
d) An island is a piece of land surrounded by water.
",[4 3 1 2],"
The speaker is addressing the question ""What is an island?""
An island is a piece of land surrounded by water.
So the speaker is saying c) an island is a place covered in water."
26,Nonliterary,1.0,141.0,0.0,Fame is a credit card.,4.61,4.69,2.7,3.5,3.2,3.6,3.14,3.03,3.43,1.41,Fame is worth money.,Fame is temporary.,Fame is when you are known by a lot of people.,Fame is easy to get.,,"""Fame is a credit card.""

a) Fame is worth money.
b) Fame is temporary.
c) Fame is easy to get.
d) Fame is when you are known by a lot of people.
",[4 3 1 2],"The speaker is addressing the question ""How does fame feel?""
A credit card is easy to get and worth a lot of money.
So the speaker is saying c) fame is easy to get."
27,Nonliterary,1.0,84.0,0.0,A dream is a solar eclipse.,3.21,3.52,2.47,3.27,2.62,2.67,3.5,2.3,2.17,1.75,A dream is a major event.,A dream is a bright event.,A dream usually involves mental imagery.,A dream is a mundane event.,,"""A dream is a solar eclipse.""

a) A dream usually involves mental imagery.
b) A dream is a major event.
c) A dream is a bright event.
d) A dream is a mundane event.
",[2 4 3 1],"The speaker is addressing the question ""What is the purpose of dreams?""
A solar eclipse is a bright event.
So the speaker is saying c) a dream is a bright event."
28,Nonliterary,1.0,192.0,0.0,Deceit is an ambush.,4.67,5.0,3.4,3.9,3.23,3.37,3.73,3.0,3.9,1.72,Deceit is unexpected and damaging.,Deceit is violent and damaging.,Deceit is lying.,Deceit is anticipated and and damaging.,,"""Deceit is an ambush.""

a) Deceit is anticipated and and damaging.
b) Deceit is unexpected and damaging.
c) Deceit is violent and damaging.
d) Deceit is lying.
",[1 4 3 2],"The speaker is addressing the question ""What is the nature of deception?""
An ambush is an attack where the victim is not expecting it.
So the speaker is saying c) deception is violent and damaging."
29,Nonliterary,1.0,190.0,0.0,Dictionaries are microscopes of words.,4.83,5.53,3.63,4.53,4.0,3.83,4.43,3.37,4.23,1.76,Dictionaries have detailed information about words.,Dictionaries are small.,Dictionaries are books with definitions of words.,Dictionaries are useless.,,"""Dictionaries are microscopes of words.""

a) Dictionaries are small.
b) Dictionaries are books with definitions of words.
c) Dictionaries are useless.
d) Dictionaries have detailed information about words.
",[3 2 1 4],"The speaker is addressing the question ""What does a dictionary do?""
A microscope is a small tool that can see small things.
So the speaker is saying b) dictionaries are small."
30,Literary,1.0,112.0,0.0,Hope is a castle built on reeds.,5.03,4.87,3.17,4.1,4.13,3.6,4.13,4.27,3.47,1.73,Hope is precarious.,Hope is beautiful.,Hope is an emotion.,Hope is guaranteed.,,"""Hope is a castle built on reeds.""

a) Hope is an emotion.
b) Hope is beautiful.
c) Hope is guaranteed.
d) Hope is precarious.
",[2 3 1 4],"The speaker is addressing the question ""What is hope?""
Hope is an emotion that fills people with hope.
So the speaker is saying c) hope is guaranteed."
31,Nonliterary,1.0,241.0,0.0,Caves are empty pockets.,5.79,5.77,3.77,3.73,4.62,4.97,5.62,2.83,4.5,1.45,Caves have space that is available for use.,Caves can be on clothing.,Caves are large underground chambers.,Caves have no space that is available for use.,,"""Caves are empty pockets.""

a) Caves have space that is available for use.
b) Caves are large underground chambers.
c) Caves can be on clothing.
d) Caves have no space that is available for use.
",[4 2 3 1],"The speaker is addressing the question ""What does caves have that pockets don't?""
Pockets are small, and caves are large.
So the speaker is saying a) caves have space that is available for use."
32,Nonliterary,1.0,110.0,0.0,Memory is a trash-masher.,3.4,3.7,2.47,2.92,2.66,2.53,3.2,1.93,2.5,1.58,We remember distorted versions of the past.,We remember compressed versions of the past.,Memory is what people remember.,We remember accurate versions of the past.,,"""Memory is a trash-masher.""

a) We remember accurate versions of the past.
b) Memory is what people remember.
c) We remember distorted versions of the past.
d) We remember compressed versions of the past.
",[1 2 4 3],"The speaker is addressing the question ""How does memory work?""
We remember accurate versions of the past.
So the speaker is saying a) we remember accurate versions of the past."
33,Nonliterary,1.0,211.0,0.0,A story is a string of beads.,5.17,5.4,2.73,3.77,3.93,3.77,4.87,3.2,3.63,2.03,A story is a connected series of events.,A story is an artistic creation.,"A story is a tale with a beginning, middle, and end.",A story is disconnected.,,"""A story is a string of beads.""

a) A story is a connected series of events.
b) A story is a tale with a beginning, middle, and end.
c) A story is disconnected.
d) A story is an artistic creation.
",[4 2 1 3],"The speaker is addressing the question ""How does a story feel?""
Stringing beads together is a creative process.
So the speaker is saying c) a story is disconnected."
34,Nonliterary,1.0,139.0,0.0,Education is a lantern.,5.75,6.07,3.3,5.3,4.73,5.03,5.07,4.67,4.63,2.04,Education helps to reveal reality.,Education is fire.,Education is learning at school.,Education is expensive.,,"""Education is a lantern.""

a) Education is learning at school.
b) Education is expensive.
c) Education is fire.
d) Education helps to reveal reality.
",[2 1 3 4],"The speaker is addressing the question ""What is the purpose of education?""
A lantern illuminates dark areas.
So the speaker is saying c) education is fire."
35,Nonliterary,1.0,140.0,17.0,Money is a lubricant.,4.57,5.0,2.7,4.1,3.6,3.8,3.24,3.0,3.5,1.81,Money helps make things happen.,Money is easy to spend.,Money is a medium of economic exchange.,Money makes it harder to get things done.,,"""Money is a lubricant.""

a) Money is a medium of economic exchange.
b) Money makes it harder to get things done.
c) Money helps make things happen.
d) Money is easy to spend.
",[2 1 4 3],"The speaker is addressing the question ""What is the purpose of money?""
Lubricants help two objects move smoothly together.
So the speaker is saying c) money helps make things happen."
36,Nonliterary,1.0,54.0,6.0,A trailer-home is a souped-up closet.,4.9,5.07,2.83,3.4,3.77,3.5,3.33,2.87,2.9,1.43,A trailer-home doesn't have much extra space.,A trailer-home is a way to take more stuff on trips.,A trailer-home is a portable home.,A trailer-home is protection.,,"""A trailer-home is a souped-up closet.""

a) A trailer-home is a way to take more stuff on trips.
b) A trailer-home doesn't have much extra space.
c) A trailer-home is a portable home.
d) A trailer-home is protection.
",[3 4 2 1],"The speaker is addressing the question ""What is the purpose of a trailer-home?""
A trailer-home is a portable home that can be taken with you on trips.
So the speaker is saying a) a trailer-home is a way to take more stuff on trips."
37,Nonliterary,1.0,134.0,0.0,Humor is a salve.,3.5,3.97,2.87,3.63,2.33,3.13,3.07,2.9,3.3,1.15,Humor is soothing.,You can buy humor.,Humor is funny. ,Humor is irritating.,,"""Humor is a salve.""

a) Humor is funny. 
b) You can buy humor.
c) Humor is irritating.
d) Humor is soothing.
",[2 3 1 4],"The speaker is addressing the question ""What is the purpose of humor?""
Humor is funny.
So the speaker is saying a) humor is funny."
38,Nonliterary,1.0,71.0,0.0,The success of capitalism is a thorn in the side of socialism.,5.23,5.17,3.77,4.34,3.97,3.83,3.77,3.47,4.75,1.24,The success of capitalism is problematic for socialism.,The success of capitalism is irrelevant to socialism.,The success of capitalism is a topic of debate.,The success of capitalism is good for socialism.,,"""The success of capitalism is a thorn in the side of socialism.""

a) The success of capitalism is a topic of debate.
b) The success of capitalism is good for socialism.
c) The success of capitalism is irrelevant to socialism.
d) The success of capitalism is problematic for socialism.
",[2 1 3 4],"The speaker is addressing the question ""What is the success of capitalism?""
Some people believe that the success of capitalism is good for socialism.
So the speaker is saying c) the success of capitalism is irrelevant to socialism."
39,Nonliterary,1.0,118.0,0.0,An ambassador is a peacock.,4.0,3.9,2.3,3.17,2.77,3.21,3.17,2.52,2.6,1.32,An ambassador should attract attention.,An ambassador is beautiful.,An ambassador is a representative of a country.,An ambassador should irritate people.,,"""An ambassador is a peacock.""

a) An ambassador should attract attention.
b) An ambassador should irritate people.
c) An ambassador is beautiful.
d) An ambassador is a representative of a country.
",[4 1 3 2],"The speaker is addressing the question ""What is the role of an ambassador?""
An ambassador should attract attention.
So the speaker is saying a) an ambassador should attract attention."
40,Nonliterary,1.0,162.0,0.0,Typhoons are nature's exterior decorators.,5.03,5.3,3.73,3.43,4.4,3.93,3.73,2.73,3.0,1.63,Typhoons can change the physical landscape of an area.,Typhoons can alter the social dynamics of an area.,Typhoons are a serious weather event.,Typhoons hardly impact the physical landscape of an area.,,"""Typhoons are nature's exterior decorators.""

a) Typhoons hardly impact the physical landscape of an area.
b) Typhoons can alter the social dynamics of an area.
c) Typhoons are a serious weather event.
d) Typhoons can change the physical landscape of an area.
",[1 3 2 4],"The speaker is addressing the question ""What does a typhoon do?""
Typhoons barely impact the physical landscape.
So the speaker is saying a) typhoons hardly impact the physical landscape of an area."
41,Literary,1.0,9.0,0.0,The mind is a mountainous landscape,5.83,5.57,3.73,4.7,5.47,4.03,5.13,5.17,3.83,2.23,The mind thinks lots of different thoughts.,The mind is vast.,The mind is the part of a person that enables them to be aware of the world.,The mind thinks the same thoughts over and over again.,,"""The mind is a mountainous landscape""

a) The mind is the part of a person that enables them to be aware of the world.
b) The mind thinks lots of different thoughts.
c) The mind is vast.
d) The mind thinks the same thoughts over and over again.
",[2 4 3 1],"The speaker is addressing the question ""How big is the mind?""
A mountainous landscape is big.
So the speaker is saying c) the mind is vast."
42,Nonliterary,1.0,213.0,0.0,Perjury is a boomerang.,4.97,5.17,3.1,4.27,3.67,3.73,3.6,2.63,4.03,1.66,Perjury comes back to hurt you.,Perjury comes back to help you.,Perjury is an illegal behavior.,Purjury comes back to free you.,,"""Perjury is a boomerang.""

a) Perjury is an illegal behavior.
b) Perjury comes back to hurt you.
c) Purjury comes back to free you.
d) Perjury comes back to help you.
",[2 4 1 3],"
The speaker is addressing the question ""What are the consequences of perjury?""
Perjury is an illegal behavior.
So the speaker is saying a) perjury is illegal.
This means that the consequences of perjury are that it is an illegal behavior and that it has consequences."
43,Nonliterary,1.0,26.0,0.0,A scientist is a spawning trout.,3.71,3.96,2.81,2.56,1.9,3.41,2.54,2.28,2.11,1.46,Scientists have lots of ideas.,Scientists have lots of friends.,A scientist is a worker.,Scientists have few ideas.,,"""A scientist is a spawning trout.""

a) Scientists have few ideas.
b) Scientists have lots of ideas.
c) Scientists have lots of friends.
d) A scientist is a worker.
",[1 4 3 2],"

The speaker is addressing the question ""What does a scientist do?""
A spawning trout has few ideas.
So the speaker is saying a) scientists have few ideas."
44,Nonliterary,1.0,92.0,0.0,A fan is a private summer's breeze.,5.6,6.13,3.5,4.28,4.77,5.27,4.9,3.67,4.97,1.52,A fan is refreshing.,A fan is hot.,A fan is a tool for moving air around.,A fan is uncomfortable.,,"""A fan is a private summer's breeze.""

a) A fan is a tool for moving air around.
b) A fan is refreshing.
c) A fan is hot.
d) A fan is uncomfortable.
",[2 4 3 1],"The speaker is addressing the question ""How does a fan feel?""
A summer breeze is refreshing.
So the speaker is saying c) a fan is refreshing."
45,Literary,1.0,114.0,0.0,A dead loved-one is ink-blotted from life's page.,5.3,5.37,3.3,3.9,4.4,4.07,4.3,4.33,3.1,1.43,A dead loved-one is a fundamental change.,A dead loved-one is a superficial change.,A dead loved-one is no longer alive.,A dead loved-one is an easy change.,,"""A dead loved-one is ink-blotted from life's page.""

a) A dead loved-one is an easy change.
b) A dead loved-one is a superficial change.
c) A dead loved-one is no longer alive.
d) A dead loved-one is a fundamental change.
",[1 3 2 4],"The speaker is addressing the question ""What is the change when a loved-one dies?""
A loved-one is no longer alive.
So the speaker is saying c) a dead loved-one is an easy change."
46,Nonliterary,1.0,185.0,24.0,The unconscious is the kitchen of ideas.,4.73,4.9,3.13,4.17,3.4,3.13,4.07,2.37,3.73,1.93,Ideas become better through unconscious processes.,Ideas become different through unconscious processes.,The unconscious is the part of the mind that is inaccessible to people.,Ideas become worse through unconscious processes.,,"""The unconscious is the kitchen of ideas.""

a) Ideas become worse through unconscious processes.
b) Ideas become better through unconscious processes.
c) Ideas become different through unconscious processes.
d) The unconscious is the part of the mind that is inaccessible to people.
",[1 4 3 2],"The speaker is addressing the question ""What is the role of the unconscious in ideas?""
The unconscious is where ideas come from.
So the speaker is saying c) ideas become different through unconscious processes."
47,Nonliterary,1.0,227.0,18.0,School teachers are encyclopedias.,5.69,5.47,3.1,3.67,4.28,4.4,4.0,3.66,4.1,2.07,School teachers are knowledgable,School teachers are detailed.,Old schoolteachers are people who have taught for a long time.,School teachers are boring.,"Note: changed from ""old schoolteachers""","""School teachers are encyclopedias.""

a) School teachers are detailed.
b) Old schoolteachers are people who have taught for a long time.
c) School teachers are boring.
d) School teachers are knowledgable
",[3 2 1 4],"The speaker is addressing the question ""What does a school teacher do?""
A school teacher is knowledgable.
So the speaker is saying c) school teachers are boring."
48,Literary,1.0,16.0,0.0,A bed is a temple of love.,6.1,6.1,3.5,4.07,5.0,5.1,4.2,5.5,3.27,2.07,A bed is sacred.,A bed is religious furniture.,A bed is furnature.,A bed is just a piece of furniture.,,"""A bed is a temple of love.""

a) A bed is religious furniture.
b) A bed is furnature.
c) A bed is just a piece of furniture.
d) A bed is sacred.
",[3 2 1 4],"The speaker is addressing the question ""What is the purpose of a bed?""
A bed is religious furniture.
So the speaker is saying b) a bed is furnature."
49,Nonliterary,1.0,179.0,0.0,The mosquito is a vampire.,6.53,6.33,3.6,4.07,5.1,5.23,5.8,4.33,5.37,2.31,The mosquito drinks blood.,The mosquito wears a cape.,The mosquito is an insect.,The mosquito does not drink blood.,,"""The mosquito is a vampire.""

a) The mosquito is an insect.
b) The mosquito wears a cape.
c) The mosquito does not drink blood.
d) The mosquito drinks blood.
",[2 3 1 4],"The speaker is addressing the question ""What does the mosquito do?""
Mosquitoes suck blood from people.
So the speaker is saying c) the mosquito does not drink blood."
50,Nonliterary,1.0,12.0,21.0,A skyscraper is a slumbering giant.,5.56,5.29,3.46,4.36,4.17,4.72,4.5,3.66,4.33,1.73,A skyscraper is big.,A skyscraper moves slowly.,A skyscraper is a tall building.,A skycraper is small.,,"""A skyscraper is a slumbering giant.""

a) A skyscraper is a tall building.
b) A skyscraper is big.
c) A skyscraper moves slowly.
d) A skycraper is small.
",[2 4 3 1],"
The speaker is addressing the question ""How tall is a skyscraper?""
A skyscraper is a tall building.
So the speaker is saying a) a skyscraper is a tall building."
