,Unnamed: 0,Type,Include,ID,Group,Statement,Good (4),Less good (3),Semantic (2) - category/desription,Bad (1),CMP,ESI,MET,MGD,IMG,IMS,IMP,FAM,SRL,ALT,NOTE,Nominal,prompt,values,model_response,appropriateness_score,raw_guess
10,10,Literary,1,52,0,Earth is a buzzing beehive grove.,Earth is an active place.,Earth is a quiet place.,Earth is a planet.,Earth is an inactive place.,5.03,4.93,3.77,4.17,5.13,4.23,4.73,4.5,3.6,2.07,,1,"""Earth is a buzzing beehive grove.""

a) Earth is an inactive place.
b) Earth is a quiet place.
c) Earth is a planet.
d) Earth is an active place.
",[1 3 2 4],"

The speaker is addressing the question ""How does Earth compare to other places?""
The speaker answers this question by comparing Earth to a buzzing beehive grove.
A buzzing beehive grove is active, so the speaker is saying c) Earth is a planet.",2.0,c
11,11,Nonliterary,1,146,0,Dreams are the movies of the mind.,Dreams are personal entertainment.,Dreams require tickets.,Dreams are what people remember from sleep.,Dreams are boring.,6.33,6.57,4.66,5.57,5.8,5.4,6.07,5.23,5.97,2.3,,1,"""Dreams are the movies of the mind.""

a) Dreams are what people remember from sleep.
b) Dreams require tickets.
c) Dreams are boring.
d) Dreams are personal entertainment.
",[2 3 1 4],"

The speaker is addressing the question ""What is the purpose of dreams?""
The speaker answers this question by comparing dreams to movies.
Movies require money to see, so the speaker is saying b) Dreams require tickets.",3.0,b
12,12,Nonliterary,1,202,0,Dictators are the stranglers of liberty.,Dictators oppose liberty.,Dictators dislike liberty.,Dictators are the rulers of authoritarian countries.,Dictators promote liberty.,6.1,5.63,3.97,4.97,5.14,5.37,3.97,4.31,5.57,1.79,,1,"""Dictators are the stranglers of liberty.""

a) Dictators are the rulers of authoritarian countries.
b) Dictators dislike liberty.
c) Dictators promote liberty.
d) Dictators oppose liberty.
",[2 3 1 4],"

The speaker is addressing the question ""What is the role of dictators?""
The speaker answers this question by comparing dictators to stranglers.
A strangler is someone who strangulates someone, so the speaker is saying c) Dictators promote liberty.",1.0,c
13,13,Nonliterary,1,85,0,Poems are the seeds of culture.,Poems are an early part of culture.,Poems are a daily part of culture.,Poems are artistic expressions.,Poems are not a part of culture.,4.47,4.27,3.07,3.87,3.3,3.6,3.43,3.1,3.47,1.59,,1,"""Poems are the seeds of culture.""

a) Poems are an early part of culture.
b) Poems are not a part of culture.
c) Poems are artistic expressions.
d) Poems are a daily part of culture.
",[4 1 2 3],"

The speaker is addressing the question ""What is the role of poems in culture?""
The speaker answers this question by comparing poems to seeds.
Seeds help plants grow, so the speaker is saying b) Poems are not a part of culture.",1.0,b
14,14,Nonliterary,1,132,0,A fisherman is a spider.,A fisherman waits for their prey.,A fisherman catches food.,A fisherman is someone who goes fishing.,A fisherman attacks their prey.,3.6,3.3,2.27,2.6,3.13,2.48,2.67,1.9,2.3,1.39,,1,"""A fisherman is a spider.""

a) A fisherman waits for their prey.
b) A fisherman is someone who goes fishing.
c) A fisherman catches food.
d) A fisherman attacks their prey.
",[4 2 3 1],"

The speaker is addressing the question ""What is a fisherman's role?""
The speaker answers this question by comparing a fisherman to a spider.
A spider waits for its prey, so the speaker is saying b) A fisherman is someone who goes fishing.",2.0,b
15,15,Nonliterary,1,91,0,Whiskey is penicillin for the soul.,Whiskey relieves existential pain.,Whiskey kills bacteria.,Whiskey is alcohol.,Whiskey is bad for the soul.,4.17,4.33,2.9,3.03,2.57,3.1,3.0,2.5,2.24,1.17,,1,"""Whiskey is penicillin for the soul.""

a) Whiskey is alcohol.
b) Whiskey kills bacteria.
c) Whiskey is bad for the soul.
d) Whiskey relieves existential pain.
",[2 3 1 4],"

The speaker is addressing the question ""What does whiskey do?""
The speaker answers this question by comparing whiskey to penicillin.
Penicillin is a drug that fights bacteria, so the speaker is saying b) Whiskey kills bacteria.",3.0,b
16,16,Nonliterary,1,29,27,Time is a wave.,There are cycles of time.,Time is invisible.,Time is a dimension.,Time is static.,5.52,5.17,2.46,3.92,4.24,3.79,3.96,3.97,3.81,2.04,,1,"""Time is a wave.""

a) Time is static.
b) Time is invisible.
c) Time is a dimension.
d) There are cycles of time.
",[1 3 2 4],"

The speaker is addressing the question ""What is time?""
The speaker answers this question by comparing time to a wave.
Time is a wave, so the speaker is saying a) Time is static.
b) Time is invisible.",1.0,a
17,17,Literary,1,194,9,Love is the star guiding every wandering ship.,Love can be informative.,Love can be found in a ship.,Love is an emotion.,Love is to be ignored.,5.97,6.07,3.6,5.4,5.47,4.93,5.33,5.93,4.43,1.7,,1,"""Love is the star guiding every wandering ship.""

a) Love can be informative.
b) Love is to be ignored.
c) Love can be found in a ship.
d) Love is an emotion.
",[4 1 3 2],"

The speaker is addressing the question ""What is love's role in the world?""
The speaker answers this question by comparing love to a star.
A star guides ships away from danger, so the speaker is saying c) Love can be found in a ship.",3.0,c
18,18,Nonliterary,1,37,0,A good professor is an oasis in the desert.,A good professor is rare.,A good professor provides necessary resources.,A good professor is on the faculty at a university.,A good professor is unwanted.,5.93,5.9,3.77,4.87,4.2,3.73,4.13,3.63,4.77,1.93,,1,"""A good professor is an oasis in the desert.""

a) A good professor is on the faculty at a university.
b) A good professor provides necessary resources.
c) A good professor is rare.
d) A good professor is unwanted.
",[2 3 4 1],"

The speaker is addressing the question ""What is the role of a good professor?""
The speaker answers this question by comparing a good professor to an oasis in the desert.
An oasis in the desert is a relief from the heat and dryness of the desert, so the speaker is saying c) A good professor is rare.",4.0,c
19,19,Nonliterary,1,167,0,The nightly news is a chamber of horrors.,The nightly news is one horrible story after the next.,The nightly news is one engaging story after the next.,The nightly news is a television program.,The nightly news is one happy story after the next.,5.73,5.53,3.23,3.33,4.43,4.2,4.03,4.43,4.27,1.97,,1,"""The nightly news is a chamber of horrors.""

a) The nightly news is one horrible story after the next.
b) The nightly news is one happy story after the next.
c) The nightly news is one engaging story after the next.
d) The nightly news is a television program.
",[4 1 3 2],"

The speaker is addressing the question ""What is the nightly news' purpose?""
The speaker answers this question by comparing the nightly news to a chamber of horrors.
A chamber of horrors is a place where people are tortured, so the speaker is saying a) The nightly news is one horrible story after the next.",4.0,a
20,20,Nonliterary,1,148,0,Chess masters are computers.,Chess masters are mechanical thinkers.,Chess masters are good thinkers.,Chess masters are excellent players.,Chess masters are bad thinkers.,5.3,5.63,3.57,3.67,4.77,3.83,4.33,4.13,4.5,1.83,,1,"""Chess masters are computers.""

a) Chess masters are mechanical thinkers.
b) Chess masters are excellent players.
c) Chess masters are bad thinkers.
d) Chess masters are good thinkers.
",[4 2 1 3],"

The speaker is addressing the question ""What makes a chess master a computer?""
The speaker answers this question by comparing chess masters to computers.
A computer is a machine that can perform certain tasks, so the speaker is saying c) Chess masters are bad thinkers.",1.0,c
21,21,Nonliterary,1,48,0,A beauitful woman is a desert flower.,A beautiful woman stands out.,A beautiful woman is colorful.,A beautiful woman is a person.,A beautiful woman blends in.,5.33,5.59,2.77,3.87,4.73,4.7,4.13,3.9,4.0,2.1,,1,"""A beauitful woman is a desert flower.""

a) A beautiful woman is colorful.
b) A beautiful woman blends in.
c) A beautiful woman is a person.
d) A beautiful woman stands out.
",[3 1 2 4],"

The speaker is addressing the question ""What does a beautiful woman have in common with a desert flower?""
The speaker answers this question by comparing a beautiful woman to a desert flower.
A desert flower is colorful and stands out, so the speaker is saying c) A beautiful woman is a person.",2.0,c
22,22,Nonliterary,1,128,0,A dynasty is a play.,A dynasty has several phases.,A dynasty is predictable.,A dynasty is a period of political rule.,A dynasty never ends.,3.13,3.13,2.73,3.0,2.13,2.72,2.43,1.89,2.24,0.96,,1,"""A dynasty is a play.""

a) A dynasty is predictable.
b) A dynasty has several phases.
c) A dynasty is a period of political rule.
d) A dynasty never ends.
",[3 4 2 1],"

The speaker is addressing the question ""How long does a dynasty last?""
The speaker answers this question by comparing a dynasty to a play.
A play has several phases, so the speaker is saying b) A dynasty has several phases.",4.0,b
23,23,Nonliterary,1,52,21,Skyscrapers are the giraffes of the city.,Skyscrapers are the tallest of buildings.,Skyscrapers are slow movers.,Skyscrapers are usually office buildings.,Skyscrapers are the smallest of buildings.,6.47,6.41,3.6,4.43,5.37,4.77,5.53,4.23,4.53,1.53,,1,"""Skyscrapers are the giraffes of the city.""

a) Skyscrapers are the tallest of buildings.
b) Skyscrapers are slow movers.
c) Skyscrapers are the smallest of buildings.
d) Skyscrapers are usually office buildings.
",[4 3 1 2],"

The speaker is addressing the question ""What are the differences between skyscrapers?""
The speaker answers this question by comparing skyscrapers to giraffes.
Giraffes are tall and slow, so the speaker is saying b) Skyscrapers are slow movers.",3.0,b
24,24,Nonliterary,1,103,0,Books are treasure chests of information.,Books have lots of valuable information.,Books are heavy.,Books are made of paper.,Books have little valuable information.,6.6,6.41,4.37,5.63,5.23,5.57,5.37,5.7,5.7,1.93,,1,"""Books are treasure chests of information.""

a) Books have lots of valuable information.
b) Books are heavy.
c) Books have little valuable information.
d) Books are made of paper.
",[4 3 1 2],"

The speaker is addressing the question ""What are the benefits of books?""
The speaker answers this question by comparing books to treasure chests.
Treasure chests have a lot of valuable items, so the speaker is saying a) Books have lots of valuable information.",4.0,a
25,25,Nonliterary,1,105,0,An island is a cork.,An island is a place without water.,An island prevents liquid from leaking out of a bottle.,An island is a piece of land surrounded by water.,An island is a place covered in water.,4.53,4.53,2.17,3.33,3.63,3.93,3.9,2.53,2.97,1.43,,1,"""An island is a cork.""

a) An island is a place covered in water.
b) An island is a piece of land surrounded by water.
c) An island is a place without water.
d) An island prevents liquid from leaking out of a bottle.
",[1 2 4 3],"

The speaker is addressing the question ""What is the difference between an island and a piece of land surrounded by water?""
The speaker answers this question by comparing an island to a cork.
A cork prevents liquid from leaking out of a bottle, so the speaker is saying d) An island prevents liquid from leaking out of a bottle.",3.0,d
26,26,Nonliterary,1,141,0,Fame is a credit card.,Fame is worth money.,Fame is temporary.,Fame is when you are known by a lot of people.,Fame is easy to get.,4.61,4.69,2.7,3.5,3.2,3.6,3.14,3.03,3.43,1.41,,1,"""Fame is a credit card.""

a) Fame is when you are known by a lot of people.
b) Fame is easy to get.
c) Fame is temporary.
d) Fame is worth money.
",[2 1 3 4],"

The speaker is addressing the question ""How valuable is fame?""
The speaker answers this question by comparing fame to a credit card.
A credit card is easy to get and can be used for purchases, so the speaker is saying c) Fame is temporary.",3.0,c
27,27,Nonliterary,1,84,0,A dream is a solar eclipse.,A dream is a major event.,A dream is a bright event.,A dream usually involves mental imagery.,A dream is a mundane event.,3.21,3.52,2.47,3.27,2.62,2.67,3.5,2.3,2.17,1.75,,1,"""A dream is a solar eclipse.""

a) A dream usually involves mental imagery.
b) A dream is a major event.
c) A dream is a bright event.
d) A dream is a mundane event.
",[2 4 3 1],"

The speaker is addressing the question ""What is the difference between a dream and a regular experience?""
The speaker answers this question by comparing a dream to a solar eclipse.
A solar eclipse is a major event that can be seen with the naked eye, so the speaker is saying b) A dream is a major event.",4.0,b
28,28,Nonliterary,1,192,0,Deceit is an ambush.,Deceit is unexpected and damaging.,Deceit is violent.,Deceit is lying.,Deceit is anticipated.,4.67,5.0,3.4,3.9,3.23,3.37,3.73,3.0,3.9,1.72,,1,"""Deceit is an ambush.""

a) Deceit is lying.
b) Deceit is anticipated.
c) Deceit is unexpected and damaging.
d) Deceit is violent.
",[2 1 4 3],"
The speaker is addressing the question ""What does deceit do?""
The speaker answers this question by comparing deceit to an ambush.
An ambush is unexpected, so the speaker is saying c) Deceit is unexpected and damaging.",4.0,c
29,29,Nonliterary,1,190,0,Dictionaries are microscopes of words.,Dictionaries have detailed information about words.,Dictionaries are small.,Dictionaries are books with definitions of words.,Dictionaries are useless.,4.83,5.53,3.63,4.53,4.0,3.83,4.43,3.37,4.23,1.76,,1,"""Dictionaries are microscopes of words.""

a) Dictionaries are small.
b) Dictionaries are books with definitions of words.
c) Dictionaries have detailed information about words.
d) Dictionaries are useless.
",[3 2 4 1],"

The speaker is addressing the question ""How does a dictionary work?""
The speaker answers this question by comparing dictionaries to microscopes.
A microscope is small, so the speaker is saying a) Dictionaries are small.",3.0,a
30,30,Literary,1,112,0,Hope is a castle built on reeds.,Hope is precarious.,Hope is beautiful.,Hope is an emotion.,Hope is guaranteed.,5.03,4.87,3.17,4.1,4.13,3.6,4.13,4.27,3.47,1.73,,1,"""Hope is a castle built on reeds.""

a) Hope is guaranteed.
b) Hope is beautiful.
c) Hope is an emotion.
d) Hope is precarious.
",[1 3 2 4],"

The speaker is addressing the question ""How does hope feel?""
The speaker answers this question by comparing hope to a castle built on reeds.
A castle built on reeds is beautiful and guaranteed to stand, so the speaker is saying b) Hope is beautiful.",3.0,b
31,31,Nonliterary,1,241,0,Caves are empty pockets.,Caves have space that is available for use.,Caves can be on clothing.,Caves are large underground chambers.,Caves have no space that is available for use.,5.79,5.77,3.77,3.73,4.62,4.97,5.62,2.83,4.5,1.45,,1,"""Caves are empty pockets.""

a) Caves can be on clothing.
b) Caves are large underground chambers.
c) Caves have no space that is available for use.
d) Caves have space that is available for use.
",[3 2 1 4],"

The speaker is addressing the question ""What are caves?""
The speaker answers this question by comparing caves to empty pockets.
Empty pockets are large and can hold a lot of things, so the speaker is saying a) Caves can be on clothing.",3.0,a
32,32,Nonliterary,1,110,0,Memory is a trash-masher.,We remember distorted versions of the past.,We remember compressed versions of the past.,Memory is what people remember.,We remember accurate versions of the past.,3.4,3.7,2.47,2.92,2.66,2.53,3.2,1.93,2.5,1.58,,1,"""Memory is a trash-masher.""

a) We remember compressed versions of the past.
b) We remember accurate versions of the past.
c) We remember distorted versions of the past.
d) Memory is what people remember.
",[3 1 4 2],"

The speaker is addressing the question ""What role does memory play in our lives?""
The speaker answers this question by comparing memory to a trash-masher.
A trash-masher compresses trash, so the speaker is saying c) We remember distorted versions of the past.",4.0,c
33,33,Nonliterary,1,211,0,A story is a string of beads.,A story is a connected series of events.,A story is an artistic creation.,"A story is a tale with a beginning, middle, and end.",A story is disconnected.,5.17,5.4,2.73,3.77,3.93,3.77,4.87,3.2,3.63,2.03,,1,"""A story is a string of beads.""

a) A story is disconnected.
b) A story is an artistic creation.
c) A story is a connected series of events.
d) A story is a tale with a beginning, middle, and end.
",[1 3 4 2],"

The speaker is addressing the question ""What is the purpose of a story?""
The speaker answers this question by comparing a story to a string of beads.
A string of beads is disconnected, so the speaker is saying a) A story is disconnected.",1.0,a
34,34,Nonliterary,1,139,0,Education is a lantern.,Education helps to reveal reality.,Education is fire.,Education is learning at school.,Education is expensive.,5.75,6.07,3.3,5.3,4.73,5.03,5.07,4.67,4.63,2.04,,1,"""Education is a lantern.""

a) Education is learning at school.
b) Education is fire.
c) Education helps to reveal reality.
d) Education is expensive.
",[2 3 4 1],"

The speaker is addressing the question ""What does education do?""
The speaker answers this question by comparing education to a lantern.
A lantern sheds light on things, so the speaker is saying c) Education helps to reveal reality.",4.0,c
35,35,Nonliterary,1,140,17,Money is a lubricant.,Money helps make things happen.,Money is easy to spend.,Money is a medium of economic exchange.,Money makes it harder to get things done.,4.57,5.0,2.7,4.1,3.6,3.8,3.24,3.0,3.5,1.81,,1,"""Money is a lubricant.""

a) Money helps make things happen.
b) Money is easy to spend.
c) Money makes it harder to get things done.
d) Money is a medium of economic exchange.
",[4 3 1 2],"

The speaker is addressing the question ""How does money work?""
The speaker answers this question by comparing money to a lubricant.
Lubrication helps things move smoothly, so the speaker is saying a) Money helps make things happen.",4.0,a
36,36,Nonliterary,1,54,6,A trailer-home is a souped-up closet.,A trailer-home doesn't have much extra space.,A trailer-home is a way to take more stuff on trips.,A trailer-home is a portable home.,A trailer-home is protection.,4.9,5.07,2.83,3.4,3.77,3.5,3.33,2.87,2.9,1.43,,1,"""A trailer-home is a souped-up closet.""

a) A trailer-home is protection.
b) A trailer-home doesn't have much extra space.
c) A trailer-home is a portable home.
d) A trailer-home is a way to take more stuff on trips.
",[1 4 2 3],"

The speaker is addressing the question ""How does a trailer-home work?""
The speaker answers this question by comparing a trailer-home to a souped-up closet.
A souped-up closet is designed to be small and compact, so the speaker is saying a) A trailer-home is protection.",1.0,a
37,37,Nonliterary,1,134,0,Humor is a salve.,Humor is soothing.,You can buy humor.,Humor is funny. ,Humor is irritating.,3.5,3.97,2.87,3.63,2.33,3.13,3.07,2.9,3.3,1.15,,1,"""Humor is a salve.""

a) Humor is funny. 
b) Humor is soothing.
c) You can buy humor.
d) Humor is irritating.
",[2 4 3 1],"

The speaker is addressing the question ""How does humor make people feel?""
The speaker answers this question by comparing humor to a salve.
A salve is a soothing substance that heals wounds, so the speaker is saying b) Humor is soothing.",4.0,b
38,38,Nonliterary,1,71,0,The success of capitalism is a thorn in the side of socialism.,The success of capitalism is problematic for socialism.,The success of capitalism is irrelevant to socialism.,The success of capitalism is a topic of debate.,The success of capitalism is good for socialism.,5.23,5.17,3.77,4.34,3.97,3.83,3.77,3.47,4.75,1.24,,1,"""The success of capitalism is a thorn in the side of socialism.""

a) The success of capitalism is problematic for socialism.
b) The success of capitalism is good for socialism.
c) The success of capitalism is a topic of debate.
d) The success of capitalism is irrelevant to socialism.
",[4 1 2 3],"

The speaker is addressing the question ""How does the success of capitalism affect socialism?""
The speaker answers this question by comparing the success of capitalism to a thorn in the side of socialism.
Capitalism is a successful system, so the speaker is saying a) The success of capitalism is problematic for socialism.",4.0,a
39,39,Nonliterary,1,118,0,An ambassador is a peacock.,An ambassador should attract attention.,An ambassador is beautiful.,An ambassador is a representative of a country.,An ambassador should irritate people.,4.0,3.9,2.3,3.17,2.77,3.21,3.17,2.52,2.6,1.32,,1,"""An ambassador is a peacock.""

a) An ambassador is beautiful.
b) An ambassador is a representative of a country.
c) An ambassador should irritate people.
d) An ambassador should attract attention.
",[3 2 1 4],"

The speaker is addressing the question ""What is the role of an ambassador?""
The speaker answers this question by comparing an ambassador to a peacock.
A peacock is beautiful and attracts a lot of attention, so the speaker is saying c) An ambassador should irritate people.",1.0,c
40,40,Nonliterary,1,162,0,Typhoons are nature's exterior decorators.,Typhoons can change the physical landscape of an area.,Typhoons can alter the social dynamics of an area.,Typhoons are a serious weather event.,Typhoons hardly impact the physical landscape of an area.,5.03,5.3,3.73,3.43,4.4,3.93,3.73,2.73,3.0,1.63,,1,"""Typhoons are nature's exterior decorators.""

a) Typhoons can alter the social dynamics of an area.
b) Typhoons hardly impact the physical landscape of an area.
c) Typhoons are a serious weather event.
d) Typhoons can change the physical landscape of an area.
",[3 1 2 4],"

The speaker is addressing the question ""What does a typhoon do?""
The speaker answers this question by comparing typhoons to exterior decorators.
Exterior decorators change the look of a place, so the speaker is saying c) Typhoons are a serious weather event.",2.0,c
41,41,Literary,1,9,0,The mind is a mountainous landscape,The mind thinks lots of different thoughts.,The mind is vast.,The mind is the part of a person that enables them to be aware of the world.,The mind thinks the same thoughts over and over again.,5.83,5.57,3.73,4.7,5.47,4.03,5.13,5.17,3.83,2.23,,1,"""The mind is a mountainous landscape""

a) The mind is the part of a person that enables them to be aware of the world.
b) The mind thinks lots of different thoughts.
c) The mind thinks the same thoughts over and over again.
d) The mind is vast.
",[2 4 1 3],"

The speaker is addressing the question ""How big is the mind?""
The speaker answers this question by comparing the mind to a mountainous landscape.
A mountainous landscape is vast and has many different features, so the speaker is saying a) The mind is the part of a person that enables them to be aware of the world.",2.0,a
42,42,Nonliterary,1,213,0,Perjury is a boomerang.,Perjury comes back to hurt you.,Perjury comes back to help you.,Perjury is an illegal behavior.,Purjury comes back to free you.,4.97,5.17,3.1,4.27,3.67,3.73,3.6,2.63,4.03,1.66,,1,"""Perjury is a boomerang.""

a) Perjury comes back to help you.
b) Purjury comes back to free you.
c) Perjury comes back to hurt you.
d) Perjury is an illegal behavior.
",[3 1 4 2],"

The speaker is addressing the question ""What does perjury do?""
The speaker answers this question by comparing perjury to a boomerang.
A boomerang comes back to the thrower, so the speaker is saying b) Perjury comes back to help you.",1.0,b
43,43,Nonliterary,1,26,0,A scientist is a spawning trout.,A scientists has lots of ideas.,A scientist has lots of friends.,A scientist is a worker.,A scientist has few ideas.,3.71,3.96,2.81,2.56,1.9,3.41,2.54,2.28,2.11,1.46,,1,"""A scientist is a spawning trout.""

a) A scientist has lots of friends.
b) A scientists has lots of ideas.
c) A scientist is a worker.
d) A scientist has few ideas.
",[3 4 2 1],"

The speaker is addressing the question ""What is a scientist's role?""
The speaker answers this question by comparing a scientist to a spawning trout.
A spawning trout has lots of eggs, so the speaker is saying a) A scientist has lots of friends.",3.0,a
44,44,Nonliterary,1,92,0,A fan is a private summer's breeze.,A fan is refreshing.,A fan is warm.,A fan is a tool for moving air around.,A fan is uncomfortable.,5.6,6.13,3.5,4.28,4.77,5.27,4.9,3.67,4.97,1.52,,1,"""A fan is a private summer's breeze.""

a) A fan is refreshing.
b) A fan is a tool for moving air around.
c) A fan is uncomfortable.
d) A fan is warm.
",[4 2 1 3],"

The speaker is addressing the question ""What does a fan do?""
The speaker answers this question by comparing a fan to a private summer's breeze.
A private summer's breeze is refreshing, so the speaker is saying a) A fan is refreshing.",4.0,a
45,45,Literary,1,114,0,A dead loved-one is ink-blotted from life's page.,A dead loved-one is a fundamental change.,A dead loved-one is a superficial change.,A dead loved-one is no longer alive.,A dead loved-one is an easy change.,5.3,5.37,3.3,3.9,4.4,4.07,4.3,4.33,3.1,1.43,,1,"""A dead loved-one is ink-blotted from life's page.""

a) A dead loved-one is no longer alive.
b) A dead loved-one is an easy change.
c) A dead loved-one is a superficial change.
d) A dead loved-one is a fundamental change.
",[2 1 3 4],"

The speaker is addressing the question ""What does a dead loved-one do to life's page?""
The speaker answers this question by comparing a dead loved-one to ink-blotted from life's page.
An ink-blotted page is blank, so the speaker is saying a) A dead loved-one is no longer alive.",2.0,a
