,Type,Include,ID,Group,Statement,CMP,ESI,MET,MGD,IMG,IMS,IMP,FAM,SRL,ALT,Good (4),Less good (3),Semantic (2) - category/desription,Bad (1),NOTE,prompt,values,QUD_rationale,QUD_v2_rationale,QUD_v3_rationale,similarity_rationale,contrast_rationale,non_explanation_rationale
10,Nonliterary,1.0,191.0,0.0,Age is an altar of memories.,5.13,5.13,3.73,4.33,4.33,3.83,4.43,3.8,4.67,1.79,Older people have more memories.,People acquire memories as they get older.,Age is the number of years something has been alive.,People start to lose their memory as they age.,,"""Age is an altar of memories.""

a) People start to lose their memory as they age.
b) Age is the number of years something has been alive.
c) People acquire memories as they get older.
d) Older people have more memories.
",[1 2 3 4],"The speaker is addressing the question ""How does age affect memories?""
An altar of memories has many memories.
So the speaker is saying that older people have more memories.
Therefore, the answer is d)","The speaker is addressing the question ""How does age affect memories?""
An altar of memories has many memories.
So the speaker is saying d) older people have more memories.","The speaker is addressing the question ""How does age affect memories?""
The speaker answers this question by comparing age to an altar of memories.
An altar of memories has many memories, so the speaker is saying d) older people have more memories.","An altar of memories has many memories.
Older people also have many memories, so the speaker is saying d) older people have more memories.",???,???
11,Nonliterary,1.0,149.0,0.0,Genes are blueprints.,6.73,6.63,4.93,5.83,5.6,5.23,5.0,5.93,5.77,1.93,Genes are instructions.,Genes are paper.,Genes are the basic physical unit of heredity.,Genes are distracting.,,"""Genes are blueprints.""

a) Genes are instructions.
b) Genes are distracting.
c) Genes are the basic physical unit of heredity.
d) Genes are paper.
",[4 1 2 3],"The speaker is addressing the question ""What do genes do?""
Blueprints are instructions for building.
So the speaker is saying that genes are instructions.
Therefore, the answer is a).","The speaker is addressing the question ""What do genes do?""
Blueprints are instructions for building.
So the speaker is saying a) genes are instructions.","The speaker is addressing the question ""What do genes do?""
The speaker answers this question by comparing genes to blueprints.
Blueprints are instructions for building, so the speaker is saying a) genes are instructions.","Blueprints are instructions for how to build something.
Genes also contain instructions for building living things, so the speaker is saying a) genes are instructions.","Blueprints are instructions that people can read.
In contrast, people cannot directly read the information encoded in genes.
This contrast projects the property of being instructions from blueprints to genes, so the speaker is saying a) genes are instructions.","Genes are made of DNA.
The speaker is saying a) genes are instructions."
12,Nonliterary,1.0,96.0,16.0,History is an alarm clock.,3.7,3.57,2.37,2.7,2.13,3.03,2.7,2.1,2.23,1.21,History is motivation.,History is why some people get out of bed in the morning.,History is a story of the past.,History is lazy.,,"""History is an alarm clock.""

a) History is lazy.
b) History is motivation.
c) History is why some people get out of bed in the morning.
d) History is a story of the past.
",[1 4 3 2],"The speaker is addressing the question ""How does history affect us?""
Alarm clocks motivate people to start the day.
So the speaker is saying that history is motivation.
Therefore, the answer is b).","The speaker is addressing the question ""How does history affect us?""
Alarm clocks motivate people to start the day.
So the speaker is saying b) history is motivation.","The speaker is addressing the question ""How does history affect us?""
The speaker answers this question by comparing history to an alarm clock.
Alarm clocks motivate people to start the day. so the speaker is saying b) history is motivation.","Alarm clocks motivate people to get out of bed.
History can also motivate people, so the speaker is saying b) history is motivation.","An alarm clock makes sounds that motivate people to wake up.
In contrast, history does not produce direct sensory experiences that people respond to.
This contrast projects the property of motivation from an alarm clock to history, so the speaker is saying b) history is motivation.","History extends back thousands of years.
The speaker is saying b) history is motivation."
13,Nonliterary,1.0,27.0,0.0,A bagpipe is a newborn baby.,4.25,3.88,2.19,2.44,2.21,2.72,2.96,1.82,1.7,1.31,A bagpipe is loud.,A bagpipe is delicate.,A bagpipe is a musical instrument.,A bagpipe is quiet.,,"""A bagpipe is a newborn baby.""

a) A bagpipe is quiet.
b) A bagpipe is delicate.
c) A bagpipe is loud.
d) A bagpipe is a musical instrument.
",[1 3 4 2],"The speaker is addressing the question ""How does a bagpipe sound?""
Newborn babies are loud.
So the speaker is saying that a bagpipe is loud.
Therefore, the answer is c).","The speaker is addressing the question ""How does a bagpipe sound?""
Newborn babies are loud.
So the speaker is saying c) a bagpipe is loud.","The speaker is addressing the question ""How does a bagpipe sound?""
The speaker answers this question by comparing a bagpipe to a newborn baby.
A newborn baby is loud, so the speaker is saying c) a bagpipe is loud.","A newborn baby is loud.
A bagpipe also loud, so the speaker is saying c) a bagpipe is loud.","A newborn baby screams loudly.
In contrast, a bagpipe does not scream.
This contrast projects the property of loudness from a newborn baby to a bagpipe, so the speaker is saying c) a bagpipe is loud.","Bagpipes originated in Scotland.
The speaker is saying c) a bagpipe is loud."
14,Literary,1.0,165.0,2.0,Mankind is a prisoner of wishes.,5.8,5.1,4.43,4.47,4.1,3.57,4.0,5.13,3.9,1.9,People don't have control over what they want.,People never want to do anything.,Mankind is conscious.,People have control over what they want.,,"""Mankind is a prisoner of wishes.""

a) People don't have control over what they want.
b) People have control over what they want.
c) People never want to do anything.
d) Mankind is conscious.
",[4 1 3 2],"The speaker is addressing the question ""How much control do people have over what they want?""
A prisoner of wishes does not have control over their wishes
So the speaker is saying that people don't have control over what they want
Therefore, the answer is a).","The speaker is addressing the question ""How much control do people have over what they want?""
A prisoner of wishes does not have control over their wishes
So the speaker is saying a) people don't have control over what they want.","The speaker is addressing the question ""How much control do people have over what they want?""
A prisoner of wishes does not have control over their wishes, so the speaker is saying a) people don't have control over what they want.","A prisoner of wishes has no control over what they want.
Mankind can also struggle with a lack of control over what they want, so the speaker is saying a) people don't have control over what they want.",???,???
15,Nonliterary,1.0,61.0,19.0,Power is penicillin.,4.33,4.13,3.03,2.97,2.4,3.23,2.53,2.97,2.55,1.38,Power can resolve problems.,Power can be injected.,Power is being able to take control.,Power can cause problems.,,"""Power is penicillin.""

a) Power can cause problems.
b) Power can resolve problems.
c) Power is being able to take control.
d) Power can be injected.
",[1 4 2 3],"The speaker is addressing the question ""What can power do?""
Penicillin is a strong antibiotic that can solve medical problems.
So the speaker is saying that power can resolve problems.
Therefore, the answer is b).","The speaker is addressing the question ""What can power do?""
Penicillin is a strong antibiotic that can solve medical problems.
So the speaker is saying b) power can resolve problems.","The speaker is addressing the question ""What can power do?""
The speaker answers this question by comparing power to penicillin.
Penicillin is a strong antibiotic that can solve medical problems, so the speaker is saying b) power can resolve problems.","Penicilin is a strong antibiotic that can solve medical problems.
Power can also solve many problems, so the speaker is saying b) power can resolve problems.",???,???
16,Literary,1.0,116.0,2.0,Man is the wandering outlaw of his own dark mind.,5.17,4.87,3.2,4.5,4.0,3.8,3.7,4.67,3.93,1.53,People can't help themselves from wanting to do bad things sometimes.,People do bad things sometimes.,Man is conscious.,People can't help themselves from wanting to do good things sometimes.,,"""Man is the wandering outlaw of his own dark mind.""

a) Man is conscious.
b) People can't help themselves from wanting to do good things sometimes.
c) People can't help themselves from wanting to do bad things sometimes.
d) People do bad things sometimes.
",[2 1 4 3],"The speaker is addressing the question ""What is people's relationship to their desires?""
Wandering outlaws of dark minds often do bad things.
So the speaker is saying that people can't help themselves from wanting to do bad things sometimes.
Therefore, the answer is c).","The speaker is addressing the question ""What is people's relationship to their desires?""
Wandering outlaws of dark minds often do bad things.
So the speaker is saying c) people can't help themselves from wanting to do bad things sometimes.","The speaker is addressing the question ""What is people's relationship to their desires?""
The speaker answers this question by comparing man to a wandering outlaw.
Wandering outlaws of dark minds often do bad things, so the speaker is saying c) people can't help themselves from wanting to do bad things sometimes.","A wandering outlaw of a dark mind does bad things.
Man often wants to do bad things, so the speaker is saying c) people can't help themselves from wanting to do bad things.",???,???
17,Nonliterary,1.0,112.0,0.0,A mosquito is an arrow.,5.03,5.2,2.57,3.67,3.93,3.68,4.0,2.86,3.4,1.71,Mosquitos fly through the air and into people.,Mosquitos can move fast.,A mosquito is an insect.,Mosquitos only move sometimes.,,"""A mosquito is an arrow.""

a) Mosquitos can move fast.
b) Mosquitos only move sometimes.
c) Mosquitos fly through the air and into people.
d) A mosquito is an insect.
",[3 1 4 2],"The speaker is addressing the question ""What do mosquitoes do?""
Arrows fly through the air and can puncture people's skin.
So the speaker is saying that mosquitoes fly through the air and into people.
Therefore, the answer is c).","The speaker is addressing the question ""What do mosquitoes do?""
Arrows fly through the air and can puncture people's skin.
So the speaker is saying c) mosquitoes fly through the air and into people.","The speaker is addressing the question ""What does a mosquito do?""
The speaker answers this question by comparing a mosquito to an arrow.
An arrow flies through the air and can puncture people's skin, so the speaker is saying c) mosquitoes fly through the air and into people.","An arrow flies through the air and punctures people's skin.
Mosquitos also fly through the air and puncture people's skin, so the speaker is saying c) mosquitos fly through the air and into people.","An arrow is shot through the air and pierces people's skin with a sharp tip.
In contrast, a mosquito is not shot from anything and does not have a sharp tip.
This contrast projects the properties of flying and piercing people to a mosquito, so the speaker is saying c) mosquitos fly through the air and into people.","Mosquitos carry many diseases, such as malaria.
The speaker is saying c) mosquitos fly through the air and into people."
18,Nonliterary,1.0,38.0,13.0,Billboards are the yellow pages of the highway.,6.2,6.0,4.03,5.37,4.6,5.0,4.97,3.1,5.07,1.93,Billboards provide information about companies.,Billboards are ugly.,Billboards are advertisements.,Billboards lack information.,,"""Billboards are the yellow pages of the highway.""

a) Billboards provide information about companies.
b) Billboards are advertisements.
c) Billboards are ugly.
d) Billboards lack information.
",[4 2 3 1],"The speaker is addressing the question ""What role do billboards play on the highway?""
The yellow pages provide readers with information about companies.
So the speaker is saying that billboards provide information about companies.
Therefore, the answer is a).","The speaker is addressing the question ""What role do billboards play on the highway?""
The yellow pages provide readers with information about companies.
So the speaker is saying a) billboards provide information about companies.","The speaker is addressing the question ""What role do billboards play on the highway?""
The speaker answers this question by comparing billboards to the yellow pages.
The yellow pages provide readers with information about companies, so the speaker is saying a) billboards provide information about companies.","The yellow pages provide information about companies.
Billboards on the highway also provide information about companies, so the speaker is saying a) billboards provide information about companies.",???,???
19,Literary,1.0,42.0,0.0,Silence is a black cavern.,5.93,5.8,3.57,4.77,5.47,4.47,4.77,4.97,4.87,2.1,Silence is mysterious.,It is quiet underground.,Silence is the absense of sound.,Silence is familiar.,,"""Silence is a black cavern.""

a) It is quiet underground.
b) Silence is familiar.
c) Silence is mysterious.
d) Silence is the absense of sound.
",[3 1 4 2],"The speaker is addressing the quesiton ""What is silence like?""
A black cavern is mysterious as people cannot see inside.
So the speaker is saying that silence is mysterious.
Therefore, the answer is c).","The speaker is addressing the quesiton ""What is silence like?""
A black cavern is mysterious as people cannot see inside.
So the speaker is saying c) silence is mysterious.","The speaker is addressing the quesiton ""What is silence like?""
The speaker answers this question by comparing silence to a black cavern.
A black cavern is mysterious as people cannot see inside, so the speaker is saying c) silence is mysterious.","A black cavern is mysterious.
Silence can also be mysterious, so the speaker is saying c) silence is mysterious.",???,???
20,Literary,1.0,17.0,2.0,Man is a worm that lives on the carcass of the earth.,5.77,5.53,3.5,3.8,4.37,4.0,4.03,4.7,3.17,1.9,A person's life is small and irrelevant.,People can wriggle around on the ground.,Man is conscious.,A person's life is important and impactful.,,"""Man is a worm that lives on the carcass of the earth.""

a) A person's life is small and irrelevant.
b) Man is conscious.
c) People can wriggle around on the ground.
d) A person's life is important and impactful.
",[4 2 3 1],"The speaker is addressing the question ""How important is a person's life on the scale of the earth?""
A worm is small compared to the carcass it feeds from.
So the author is saying that a person's life is small and irrelevant.
Therefore, the answer is a).","The speaker is addressing the question ""How important is a person's life on the scale of the earth?""
A worm is small compared to the carcass it feeds from.
So the author is saying a) a person's life is small and irrelevant.","The speaker is addressing the question ""How important is a person's life on the scale of the earth?""
The speaker answers this question by comparing man to a worm that lives on the carcass of the earth.
A worm is small compared to the carcass it feeds from, so the author is saying a) a person's life is small and irrelevant.","A worm that lives on a carcass is small and irrelevant on the scale of the carcass.
People are small and irrelevant on the scale of the earth, so the speaker is saying a) a person's life is small and irrelevant.",???,???
21,Nonliterary,1.0,230.0,0.0,Craters are the moon's dimples.,6.34,6.2,3.1,4.47,5.8,5.1,5.63,3.8,4.67,1.52,Craters give character to the moon's surface.,Craters give texture to the moon's surface.,Craters are indentions in the moon.,Craters are invisible.,,"""Craters are the moon's dimples.""

a) Craters are invisible.
b) Craters give texture to the moon's surface.
c) Craters are indentions in the moon.
d) Craters give character to the moon's surface.
",[1 3 2 4],"The speaker is addressing the question ""What role do craters play on the moon's surface?""
Dimples give a person's face character.
So the speaker is saying that craters give character to the moon's surface.
Therefore, the answer is d).","The speaker is addressing the question ""What role do craters play on the moon's surface?""
Dimples give a person's face character.
So the speaker is saying d) craters give character to the moon's surface.","The speaker is addressing the question ""What role do craters play on the moon's surface?""
The speaker answers this question by comparing craters to dimples.
Dimples give a person's face character, so the speaker is saying d) craters give character to the moon's surface.","Dimples give character to a person's face.
The moon has craters that give it character, so the speaker is saying d) craters give character to the moon's surface.","Dimples are indentations in people's faces that give them character.
In contrast, craters do not exist on people's faces.
This contrast projects the property of giving character to craters, so the speaker is saying d) craters give character to the moon's surface.","Craters are caused by collisions with meteors and comets.
The speaker is saying d) craters give character to the moon's surface."
22,Nonliterary,1.0,194.0,0.0,Silence is an apron.,3.27,3.67,2.47,2.33,2.03,2.73,3.13,2.33,2.47,1.24,Silence prevents risk.,Silence is made of cloth.,Silence is the complete absence of sound.,Silence causes risk.,,"""Silence is an apron.""

a) Silence causes risk.
b) Silence prevents risk.
c) Silence is the complete absence of sound.
d) Silence is made of cloth.
",[1 4 2 3],"The speaker is addressing the question ""What does silence do?""
Aprons prevent risk to cooks.
So the speaker is saying that silence prevents risk.
Therefore, the answer is b).","The speaker is addressing the question ""What does silence do?""
Aprons prevent risk to cooks.
So the speaker is saying b) silence prevents risk.","The speaker is addressing the question ""What does silence do?""
The speaker answers this question by comparing silence to an apron.
An apron prevents risk to cooks, so the speaker is saying b) silence prevents risk.","Aprons prevent risk to cooks.
Silence can also prevent risk by avoiding confrontations, so the speaker is saying b) silence prevents risk.","An apron is protective clothing worn by cooks to prevent risk while cooking.
In contrast, silence cannot be worn.
This contrast projects the property of preventing risk to silence, so the speaker is saying b) silence prevents risk.","Silence can make it easier to sleep.
The speaker is saying b) silence prevents risk."
23,Nonliterary,1.0,23.0,16.0,History is a sponge.,4.08,4.58,3.31,3.4,2.48,2.66,3.12,2.76,3.0,1.46,History absorbs people and stories.,History is a record.,History is a story.,We see ourselves in history.,,"""History is a sponge.""

a) History is a story.
b) We see ourselves in history.
c) History absorbs people and stories.
d) History is a record.
",[2 1 4 3],"The speaker is addressing the question ""How does history change over time?""
A sponge absorbs water.
So the speaker is saying that history absorbs people and stories.
Therefore, the answer is c).","The speaker is addressing the question ""How does history change over time?""
A sponge absorbs water.
So the speaker is saying c) history absorbs people and stories.","The speaker is addressing the question ""How does history change over time?""
The speaker answers this question by comparing history to a sponge.
A sponge absorbs water, so the speaker is saying c) history absorbs people and stories.","A sponge absorbs liquids.
History can absorb things, like people and stories, so the speaker is saying b) history absorbs people and stories.",???,???
24,Nonliterary,1.0,247.0,0.0,Terrorists are hawks among the fowl.,5.93,5.93,3.4,4.8,5.07,4.7,5.38,3.41,5.07,1.79,Terrorists are people who seek to use violence among people who don't wish to use violence.,Terrorists are people who seek to use violence among people who also wish to use violence.,Terrorists are people who use violenece and intimidation.,Terrorists are people who seek to prevent violence among people who wish to use violence.,,"""Terrorists are hawks among the fowl.""

a) Terrorists are people who seek to prevent violence among people who wish to use violence.
b) Terrorists are people who seek to use violence among people who don't wish to use violence.
c) Terrorists are people who seek to use violence among people who also wish to use violence.
d) Terrorists are people who use violenece and intimidation.
",[1 4 3 2],"The speaker is addressing the question ""What do terrorists seek to do?""
Hawks violently attack fowl, while fowl are mostly passive.
So the speaker is saying that terrorists seek to use violence among people who don't wish to use violence.
Therefore, the answer is b).","The speaker is addressing the question ""What do terrorists seek to do?""
Hawks violently attack fowl, while fowl are mostly passive.
So the speaker is saying b) terrorists seek to use violence among people who don't wish to use violence.","The speaker is addressing the question ""What do terrorists seek to do?""
The speaker answers this question by comparing terrorists to hawks among fowl.
Hawks violently attack fowl, while fowl are mostly passive, so the speaker is saying b) terrorists seek to use violence among people who don't wish to use violence.","Hawks among fowl uses violence to attack the fowl who are not violent.
Terrorists also use violence against people who are not violent, so the speaker is saying b) terrorists are people who seek to use violence among people who don't wish to use violence.",???,???
